title,author,date_published,unique_code,publisher
Rails Cook Book,Karthikeyan,12-07-2010,7545464,Rails Guide
Angels and Demons,Dan Brown,12-07-2011,7545465,Book Publishers
Harry Potter 1,J K Rowling,12-07-2012,7545466,Pixar
Harry Potter 2,J K Rowling,12-07-2013,7545467,Pixar
Harry Potter 3,J K Rowling,12-07-2014,7545468,Pixar
Harry Potter 4,J K Rowling,12-07-2015,7545469,Pixar
Harry Potter 5,J K Rowling,12-07-2016,7545470,Pixar
Harry Potter 6,J K Rowling,12-07-2017,7545471,Pixar
Harry Potter 7,J K Rowling,12-07-2017,7545472,Pixar
Fault in our stars,John Green,10-01-2012,7545473,Best Novels
